,City,Country,ID,Latitude,Longitude,Max Temp,Humidity,Wind Speed,Cloudiness
2,Pisco,PE,3932145,-13.7,-76.2167,75.2,73,5.75,0
6,Flinders,AU,6255012,-34.5833,150.8552,69.01,77,5.99,89
8,Entre Rios,BR,3464100,-11.9419,-38.0844,72.07,82,5.19,0
14,Port Pirie,AU,2063030,-33.1833,138.0167,62.6,72,16.11,0
17,Busselton,AU,2075265,-33.65,115.3333,66.99,62,7.45,13
19,Bambous Virieux,MU,1106677,-20.3428,57.7575,79.0,94,8.05,75
20,Nelson Bay,AU,2155562,-32.7167,152.15,77.0,88,9.22,75
24,Isangel,VU,2136825,-19.55,169.2667,86.0,74,5.75,75
25,Te Anau,NZ,2181625,-45.4167,167.7167,47.91,84,9.44,100
28,Hithadhoo,MV,1282256,-0.6,73.0833,80.17,66,4.72,0
30,Beloha,MG,1067565,-25.1667,45.05,75.65,91,5.75,100
31,Avarua,CK,4035715,-21.2078,-159.775,78.8,78,9.22,75
33,Atuona,PF,4020109,-9.8,-139.0333,78.85,74,18.54,42
38,Puerto Ayora,EC,3652764,-0.7393,-90.3518,77.0,94,11.5,75
42,Rikitea,PF,4030556,-23.1203,-134.9692,78.73,74,13.94,15
45,Constitución,CL,3893726,-35.3333,-72.4167,68.09,55,9.22,0
46,Vaini,TO,4032243,-21.2,-175.2,86.0,74,11.5,40
48,Ushuaia,AR,3833367,-54.8,-68.3,51.8,66,13.8,75
49,Tuatapere,NZ,2180815,-46.1333,167.6833,51.01,94,5.99,100
56,Mataura,NZ,6201424,-46.1927,168.8643,51.01,94,5.99,96
57,Port Alfred,ZA,964432,-33.5906,26.891,66.99,90,3.0,22
59,Touros,BR,3386213,-5.1989,-35.4608,80.6,69,10.36,20
61,Talcahuano,CL,3870282,-36.7167,-73.1167,75.2,53,17.27,0
62,Cap Malheureux,MU,934649,-19.9842,57.6142,79.0,88,3.0,100
63,New Norfolk,AU,2155415,-42.7826,147.0587,55.0,50,4.0,52
64,Saint-Philippe,RE,935215,-21.3585,55.7679,78.8,73,5.75,20
65,Carnarvon,AU,2074865,-24.8667,113.6333,80.6,100,8.05,0
70,Punta Arenas,CL,3874787,-53.15,-70.9167,55.4,58,21.85,0
76,Ahipara,NZ,2194098,-35.1667,173.1667,71.37,64,12.3,34
77,Dareda,TZ,160266,-4.2167,35.55,59.13,82,2.06,100
80,Chui,UY,3443061,-33.6971,-53.4616,67.46,65,9.06,0
81,Mar del Plata,AR,3430863,-38.0023,-57.5575,86.0,35,13.8,0
87,Ambon City,ID,1651531,-3.6954,128.1814,75.2,94,8.05,40
88,Castro,BR,3466704,-24.7911,-50.0119,66.83,97,2.64,100
98,Cajati,BR,3468157,-24.7361,-48.1228,73.6,93,3.69,100
99,Cape Town,ZA,3369157,-33.9258,18.4232,69.01,88,13.8,0
107,Tsiroanomandidy,MG,1054463,-18.7667,46.0333,70.39,93,5.46,100
108,Kavieng,PG,2094342,-2.5744,150.7967,84.0,71,13.29,76
110,Kieta,PG,2094027,-6.2167,155.6333,82.99,68,0.78,100
112,Arraial do Cabo,BR,3471451,-22.9661,-42.0278,80.6,73,18.41,0
116,Hobart,AU,2163355,-42.8794,147.3294,55.0,50,17.27,75
123,Pastos Bons,BR,3392907,-6.6017,-44.0767,75.88,81,2.66,1
129,Alice Springs,AU,2077895,-23.7,133.8833,77.0,28,8.05,0
131,Vanimo,PG,2084442,-2.6741,141.3028,79.03,81,4.03,99
142,Waipawa,NZ,2206874,-41.4122,175.5153,68.0,64,21.85,20
148,Angoram,PG,2100765,-4.0625,144.0661,77.04,94,1.5,84
149,Acaraú,BR,3408368,-2.8856,-40.12,80.2,78,12.88,81
151,Lüderitz,NA,3355672,-26.6481,15.1594,65.35,86,12.24,1
152,Vila Velha,BR,3445026,-20.3297,-40.2925,80.01,83,13.8,0
157,Padang,ID,1633419,-0.9492,100.3543,73.4,88,2.3,75
159,Mercedes,AR,3430708,-34.6515,-59.4307,82.99,45,1.99,0
162,Cidreira,BR,3466165,-30.1811,-50.2056,72.16,73,10.6,9
167,Menongue,AO,3347353,-14.6585,17.691,64.69,75,5.48,100
168,Bredasdorp,ZA,1015776,-34.5322,20.0403,66.2,82,5.75,17
171,Bluff,NZ,2206939,-46.6,168.3333,51.01,94,5.99,100
172,Boende,CD,218680,-0.2167,20.8667,75.07,75,2.57,100
176,East London,ZA,1006984,-33.0153,27.9116,70.05,78,20.24,44
181,Campos dos Goytacazes,BR,3467693,-21.75,-41.3,80.6,69,18.41,0
183,Port Hedland,AU,2063042,-20.3167,118.5667,89.6,45,6.91,83
190,Guarambaré,PY,3438043,-25.4833,-57.4667,82.4,44,12.66,0
193,Hermanus,ZA,3366880,-34.4187,19.2345,64.0,86,6.76,0
194,Kaitangata,NZ,2208248,-46.2817,169.8464,55.99,83,1.01,84
197,Quatre Cocos,MU,1106643,-20.2078,57.7625,79.0,94,8.05,75
202,Kwinana,AU,2068079,-32.25,115.7667,80.01,50,6.91,35
209,Walvis Bay,NA,3359638,-22.9575,14.5053,66.0,82,9.22,65
210,Comodoro Rivadavia,AR,3860443,-45.8667,-67.5,73.4,43,10.36,0
211,Coruripe,BR,3465329,-10.1256,-36.1756,77.56,80,12.06,0
212,Plettenberg Bay,ZA,964712,-34.0527,23.3716,67.37,83,1.45,1
213,Port Elizabeth,ZA,964420,-33.918,25.5701,68.0,88,12.66,0
214,Japura,ID,1642773,-0.3167,102.35,70.3,95,1.14,100
215,Richards Bay,ZA,962367,-28.783,32.0377,70.05,86,2.93,79
218,Almeirim,BR,3407903,-1.5233,-52.5817,79.86,77,4.07,79
220,Nhulunbuy,AU,2064735,-12.2333,136.7667,78.8,100,5.03,90
223,Vredendal,ZA,3359736,-31.6683,18.5012,63.68,93,6.49,6
224,Chitungwiza,ZW,1106542,-18.0127,31.0756,64.99,91,3.0,100
225,Sydney,AU,2147714,-33.8679,151.2073,73.4,73,21.85,40
226,Dunedin,NZ,2191562,-45.8742,170.5036,63.0,70,5.01,45
232,Kaliua,TZ,158514,-5.0606,31.7936,65.1,88,0.85,38
242,Lebu,CL,3883457,-37.6167,-73.65,62.44,79,23.89,0
249,Kruisfontein,ZA,986717,-34.0033,24.7314,66.0,83,6.38,0
250,Bima,ID,1648759,-8.4667,118.7167,76.14,85,2.01,98
252,Yulara,AU,6355222,-25.2406,130.9889,75.2,25,12.66,29
257,Souillac,MU,933995,-20.5167,57.5167,78.8,94,8.05,75
261,Iquique,CL,3887127,-20.2208,-70.1431,73.4,56,18.41,0
262,Feijó,BR,3664243,-8.1642,-70.3536,78.08,92,1.3,99
265,Uyuni,BO,3901903,-20.4597,-66.825,54.12,60,17.34,57
266,Camocim,BR,3403687,-2.9022,-40.8411,79.75,79,13.89,91
274,Sola,VU,2134814,-13.8833,167.55,80.6,94,15.26,75
276,Martapura,ID,1636022,-3.4167,114.85,73.4,100,1.14,90
288,Kimbe,PG,2093967,-5.5502,150.1429,81.88,81,1.92,85
289,Passo de Camaragibe,BR,3388341,-9.2368,-35.4901,77.0,88,10.36,20
291,Kiama,AU,2161515,-34.6833,150.8667,69.01,78,1.99,86
292,Faanui,PF,4034551,-16.4833,-151.75,81.19,74,15.14,4
295,Labuhan,ID,8079926,-6.8844,112.2051,78.13,86,11.77,100
297,Lages,BR,3458930,-27.8161,-50.3261,65.14,78,3.33,93
298,Quelimane,MZ,1028434,-17.8786,36.8883,82.0,89,3.36,75
302,Puerto Madryn,AR,3840092,-42.7692,-65.0385,73.35,46,15.79,0
304,Tautira,PF,4033557,-17.7333,-149.15,86.0,62,8.05,20
306,Mayor Pablo Lagerenza,PY,3867427,-19.9309,-60.7718,83.43,37,5.28,34
311,Grand Gaube,MU,934479,-20.0064,57.6608,79.0,88,3.0,100
312,Airai,TL,1651810,-8.9266,125.4092,60.8,100,1.72,100
314,Natal,BR,3394023,-5.795,-35.2094,80.6,69,11.5,20
316,Mount Gambier,AU,2156643,-37.8333,140.7667,60.8,59,14.97,90
319,Minas,UY,3441665,-34.3759,-55.2377,73.4,64,5.75,0
322,Piaçabuçu,BR,3454005,-10.4056,-36.4344,77.76,80,11.39,0
325,Mossamedes,AO,3347019,-15.1961,12.1522,73.08,72,9.78,92
327,Itainópolis,BR,3397976,-7.4469,-41.4783,81.19,60,3.0,89
334,Caravelas,BR,3466980,-17.7125,-39.2481,77.2,78,7.05,0
337,Caicó,BR,3404117,-6.4583,-37.0978,86.05,48,14.76,100
338,Pio IX,BR,3392020,-6.8375,-40.5792,75.2,67,6.64,71
340,Maputo,MZ,1040652,-25.9653,32.5892,77.0,73,9.22,20
341,Geraldton,AU,2070998,-28.7667,114.6,75.2,73,3.85,0
345,São João da Barra,BR,3448903,-21.6403,-41.0511,80.6,69,18.41,0
351,Saldanha,ZA,3361934,-33.0117,17.9442,64.4,82,11.5,0
353,Manggar,ID,1636426,-2.8833,108.2667,78.78,77,13.38,100
359,Itaguaí,BR,3460899,-22.8522,-43.7753,91.4,38,8.05,0
360,Tadine,NC,2138285,-21.55,167.8833,82.06,79,4.34,93
361,Mount Isa,AU,2065594,-20.7333,139.5,87.8,40,9.22,0
