,City,ID,Latitude,Longitude,Max Temp,Humidity,Wind Speed,Cloudiness
2,Atuona,4020109,-9.8,-139.0333,77.95,78,15.59,35
6,Port Elizabeth,964420,-33.918,25.5701,69.8,88,5.75,90
7,Hobart,2163355,-42.8794,147.3294,79.0,43,9.22,20
10,Mataura,6201424,-46.1927,168.8643,77.0,45,3.76,100
13,Rikitea,4030556,-23.1203,-134.9692,78.03,79,16.51,7
14,Mahébourg,934322,-20.4081,57.7,78.8,83,14.97,75
15,Puerto Ayora,3652764,-0.7393,-90.3518,75.0,93,3.0,99
16,Mount Gambier,2156643,-37.8333,140.7667,71.6,43,3.44,91
18,Kruisfontein,986717,-34.0033,24.7314,69.01,90,1.99,99
21,Tuatapere,2180815,-46.1333,167.6833,75.04,42,2.06,0
28,Hermanus,3366880,-34.4187,19.2345,71.01,86,4.0,90
29,Vaini,4032243,-21.2,-175.2,86.0,74,11.5,75
33,New Norfolk,2155415,-42.7826,147.0587,79.0,41,3.0,0
47,Avarua,4035715,-21.2078,-159.775,86.0,66,19.57,75
51,Bengkulu,1649150,-3.8004,102.2655,77.04,79,4.0,100
56,Bredasdorp,1015776,-34.5322,20.0403,68.0,88,13.8,98
57,Vao,2137773,-22.6667,167.4833,78.24,85,20.87,91
62,Caravelas,3466980,-17.7125,-39.2481,75.61,87,5.08,0
66,Tres Arroyos,3833859,-38.3739,-60.2798,61.54,43,11.63,0
67,Saint-Philippe,935215,-21.3585,55.7679,77.0,94,3.44,75
69,Busselton,2075265,-33.65,115.3333,63.0,66,3.0,0
70,Port Alfred,964432,-33.5906,26.891,66.99,96,14.54,80
72,Victoria Point,2145214,-27.5833,153.3,84.0,59,5.99,18
73,Richards Bay,962367,-28.783,32.0377,72.27,88,5.12,0
74,Ahipara,2194098,-35.1667,173.1667,70.83,86,8.28,28
79,Arraial do Cabo,3471451,-22.9661,-42.0278,76.28,85,23.04,59
81,Santa Maria,3450083,-29.6842,-53.8069,73.4,83,13.8,75
82,Buala,2109528,-8.145,159.5921,85.42,65,1.34,100
86,Tauá,3386568,-5.9667,-40.3,77.0,69,2.64,99
87,Sorong,1626542,-0.8833,131.25,83.59,78,7.72,100
91,Opuwo,3354077,-18.0607,13.84,67.17,50,4.99,98
